Hash,Message,Filename,Rectified Message
ec69bb36b43aac9258ff14d4ba0b99ad744eb5c2,Fix fenced code blocks.,README.md,add docs for ec2 instance sample
25267a4726365691393ccace8bb9009b2b4ff301,Give more verbose exceptions and examples of the error checking.,README.md,add documentation for error checking
25267a4726365691393ccace8bb9009b2b4ff301,Give more verbose exceptions and examples of the error checking.,__init__.py,add more info about the error handling
b7937b119b4bdaa07e5d66cd2d5617ae721073f8,Fixup example to use SecurityGroupRule instead of SecurityGroupIngress.,ELBSample.py,add example for security group rule
3c8eb23c7ade6ac1d80a382458a5c9dcca39b7c6,Fix SecurityGroupEgress and SecurityGroupIngress definitions.,ec2.py,add more info about commit message changes
a455a8a32d4408178e0268446463205b5442af12,Fix pep8 issues,IAM_Policies_SNS_Publish_To_SQS.py,add more info about the issue
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,CloudFront_S3.py,add more info about cloudfront changes
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,ELBSample.py,add ec2 instance type parameter to ec2 commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,ElasticBeanstalk_Python_Sample.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,IAM_Policies_SNS_Publish_To_SQS.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,IAM_Users_Groups_and_Policies.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,RDS_with_DBParameterGroup.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,Route53_CNAME.py,add more info about route53 commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,Route53_RoundRobin.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,S3_Bucket.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,S3_Website_Bucket_With_Retain_On_Delete.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,SQS_With_CloudWatch_Alarms.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,WaitObject.py,add more info about the code change
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,setup.py,add troposphere to setup.py
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,autoscaling.py,add more info about trigger
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,cloudformation.py,add more info about ref changes
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,cloudwatch.py,add more info about alarm
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,dynamodb.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,ec2.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,elasticache.py,add missing docstring to cachecluster
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,elasticbeanstalk.py,add missing docs to sourcebundle
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,elasticloadbalancing.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,iam.py,add more info about the new commit message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,rds.py,add missing line to error message
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,sdb.py,add missing docs to domain.py
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,sns.py,add subscription example
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,sqs.py,add a comment to the error message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",autoscaling.py,add more info about the commit message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",cloudformation.py,add more info about the integer properties
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",cloudfront.py,add more info about the commit message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",cloudwatch.py,add more info about the commit message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",ec2.py,add docs for all of the rules in the commit
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",elasticache.py,add more info about cache cluster changes
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",elasticloadbalancing.py,add more info about the commit message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",iam.py,add documentation for key changes
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",rds.py,add more info about the commit message
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",route53.py,add more info about the integer properties
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",sqs.py,add a comment to the commit message
0297303b1826ba8f1b66dfc9f83a1e1bc91d2b71,Fix CustomGateway -> CustomerGateway,ec2.py,add more info about the changes
ac36bfca38c69b85e2e4f6e6cc0c8d2dc425c54e,"Fix VPC security group rule bugs

- Fix bugs with SecurityGroupEgress and SecurityGroupIngress.
  - They are really only AWSProperty and not AWSObject derivatives.
  - They were generating bad JSON for VPC security group ingress/egress rules.
- Added workaround for AWS bug with SecurityGroupEgress rules.
  - Egress rules targeting a security group do not respect
     DestinationSecurityGroupId.
  - You have to use SourceSecurityGroupId to create these types of rules.
  - Added SourceSecurityGroupId to hash of allowed properties for
    SecurityGroupEgress.
  - This is a known AWS bug with EC2/CloudFormation APIs since mid-2012.
- This is a merge of Will's patch",ec2.py,add more docstrings to ec2 commit messages
7e3aaaf0cfc4e12b9cc72eb857b2d828035a0fe8,Fix pep8 whitespace,test_basic.py,add test for
