Hash,Message,Hashes of parents,Is a merge commit?,List of modified files
ec69bb36b43aac9258ff14d4ba0b99ad744eb5c2,Fix fenced code blocks.,e69d779181c8390653aa3dd338167370d2bf6530,False,README.md
25267a4726365691393ccace8bb9009b2b4ff301,Give more verbose exceptions and examples of the error checking.,5265011b7972bf5627ceef64564a256379a7f102,False,"README.md, __init__.py"
b7937b119b4bdaa07e5d66cd2d5617ae721073f8,Fixup example to use SecurityGroupRule instead of SecurityGroupIngress.,084128aa24ecec73af805a93f7f8bc4a6d60c04d,False,ELBSample.py
3c8eb23c7ade6ac1d80a382458a5c9dcca39b7c6,Fix SecurityGroupEgress and SecurityGroupIngress definitions.,b7937b119b4bdaa07e5d66cd2d5617ae721073f8,False,ec2.py
a455a8a32d4408178e0268446463205b5442af12,Fix pep8 issues,42bd0a495d15b014efdcf1a159ad97a884807179,False,IAM_Policies_SNS_Publish_To_SQS.py
cffa0cd8bbb452868031cf32a83e59788a506b6c,Fix pyflakes warnings,df6da0acee9a33f495278ae40f51ed3af6d699cd,False,"CloudFront_S3.py, ELBSample.py, ElasticBeanstalk_Python_Sample.py, IAM_Policies_SNS_Publish_To_SQS.py, IAM_Users_Groups_and_Policies.py, RDS_with_DBParameterGroup.py, Route53_CNAME.py, Route53_RoundRobin.py, S3_Bucket.py, S3_Website_Bucket_With_Retain_On_Delete.py, SQS_With_CloudWatch_Alarms.py, WaitObject.py, setup.py, autoscaling.py, cloudformation.py, cloudwatch.py, dynamodb.py, ec2.py, elasticache.py, elasticbeanstalk.py, elasticloadbalancing.py, iam.py, rds.py, sdb.py, sns.py, sqs.py"
188aa43dbb3c205640be4ce6a491dac00223af15,"Incorporate Will's property type changes

Some of the integer properties were using basestring. Fix these using
the new utility functions.",9d443d425a6480743c0dcc8b7ccab083ad7f2c68,False,"autoscaling.py, cloudformation.py, cloudfront.py, cloudwatch.py, ec2.py, elasticache.py, elasticloadbalancing.py, iam.py, rds.py, route53.py, sqs.py"
0297303b1826ba8f1b66dfc9f83a1e1bc91d2b71,Fix CustomGateway -> CustomerGateway,b261a9aba94d6e3088c23aefdb5e22a95152cd85,False,ec2.py
ac36bfca38c69b85e2e4f6e6cc0c8d2dc425c54e,"Fix VPC security group rule bugs

- Fix bugs with SecurityGroupEgress and SecurityGroupIngress.
  - They are really only AWSProperty and not AWSObject derivatives.
  - They were generating bad JSON for VPC security group ingress/egress rules.
- Added workaround for AWS bug with SecurityGroupEgress rules.
  - Egress rules targeting a security group do not respect
     DestinationSecurityGroupId.
  - You have to use SourceSecurityGroupId to create these types of rules.
  - Added SourceSecurityGroupId to hash of allowed properties for
    SecurityGroupEgress.
  - This is a known AWS bug with EC2/CloudFormation APIs since mid-2012.
- This is a merge of Will's patch",0297303b1826ba8f1b66dfc9f83a1e1bc91d2b71,False,ec2.py
7e3aaaf0cfc4e12b9cc72eb857b2d828035a0fe8,Fix pep8 whitespace,8bf1e479f1dd8423613d6eb0f5c78dd78fdc9c67,False,test_basic.py
d17db180aa5510b7384641d57d2f36391306f4af,Fix Python 3.3 compatibility,2779a2e22575744ea3bb69d7a70b11a15aaa8ecd,False,"test_examples.py, test_util.py"
ed8fed14a0fa79490f3cbb11957ab7c61d487d31,Fix empty param issue and print a nicer error message,61abce412cebefecc8c0e59826ef34e0e649036b,False,cfn
759541e545347547f7f04397d7c28a5cfff41d84,"Fix a missed portion of a pull request patch

This patch fixes:
    Workaround for a bug in CloudFormation and EC2 where the
    DestinationSecurityGroupId property is ignored causing
    egress rules targeting a security group to be ignored.
    Using SourceSecurityGroupId instead works fine even in
    egress rules. AWS have known about this bug for a while.",ed8fed14a0fa79490f3cbb11957ab7c61d487d31,False,ec2.py
77e9870a7e0d9f46c296120ed71c82d50b6ca886,Fix Attributes validator for ELB Policies,49e98ff7dee58a971d562d720f7b28c0fc495f71,False,"setup.py, __init__.py, elasticloadbalancing.py"
c1740ad823d866aa43845e484a5251c07facd8c9,"Fixing due to an error that was in the AWS docs

Working with Amazon support on this - the documentation is wrong, and
the LoadBalancerPorts argument isn't required.",833419a8d327b118922e69c70858ab00ac13f439,False,elasticloadbalancing.py
09c4b3751648708d81a0c921a196e47f636cf822,Do not validate AWSHelperFun's (Fix for Issue 8),904718be5fdb7c86819eeabeeb7791b660d711ee,False,"test_basic.py, __init__.py"
f5fb99ba7d673d990a2fdd61e48667cac2b8860a,"Merge pull request #9 from cloudtools/fix_issue_8

Do not validate AWSHelperFun's (Fix for Issue 8)","904718be5fdb7c86819eeabeeb7791b660d711ee, 09c4b3751648708d81a0c921a196e47f636cf822",True,
c290bc622507ad5b1321bdcba1d34becbeadbe5a,Fix pyflakes warning,f5fb99ba7d673d990a2fdd61e48667cac2b8860a,False,elasticloadbalancing.py
93f377e94b6f9ce46e15f474a69eac7098e88472,Fix pep8 warning,c290bc622507ad5b1321bdcba1d34becbeadbe5a,False,autoscaling.py
e016121a1679524d7913997398a505f5a6affc64,Fix pep8,93f377e94b6f9ce46e15f474a69eac7098e88472,False,test_basic.py
34945549998162aad0e468dacc95d4188fbf8abc,"Add missing return in integer_range [GH-10]

Add a missing return in interger_range. Thanks @hglynn for the fix.",e016121a1679524d7913997398a505f5a6affc64,False,"test_validators.py, validators.py"
5d7c4c894f39708e17de265309281493401b82c1,"Fix `type` and `dictname` that are now AWSObject class members, this makes the code more DRY",ac0aae01785caafbcf4742b1e717910c0a91ded1,False,"test_basic.py, __init__.py, autoscaling.py, cloudformation.py, cloudfront.py, cloudwatch.py, dynamodb.py, ec2.py, elasticache.py, elasticbeanstalk.py, elasticloadbalancing.py, iam.py, rds.py, route53.py, s3.py, sdb.py, sns.py, sqs.py"
e0eed80408cd575e81b86eabe6ff7dd6e876ce73,Fix iam.Policy,2ee4e76de40c50aab833e4c991632d6d09da816f,False,iam.py
16e9341180aa17c3d7a30769eb72ad6d1779cdff,Fix route53.RecordSet that does not require a `name`,e0eed80408cd575e81b86eabe6ff7dd6e876ce73,False,route53.py
fe91e3d1163eadaa273fdabe2d4efd3b67b5f716,Fix s3.Bucket constructor,16e9341180aa17c3d7a30769eb72ad6d1779cdff,False,s3.py
1ea41f91ce8c365579a8ce14a490de0abe556f4d,Fix AWSProperty that should not output a named dict,b8f545eee4335b028b0ab43b7c51225b5919326b,False,__init__.py
ce8f8167dea0eb476fa2143d50c1ed43a2c2cea1,"Clean up ""required"" error checking and handle property types better",a475288a988af64ba6895554744b2ac38f2ac739,False,__init__.py
52ef0d9785a08b9fef1164cee94a738a1bb224b8,"Resource property types should not be in a Properties dictionary

A previous change caused resource property types to be put into a
Properties dictionary. This fixes that regression.",ce8f8167dea0eb476fa2143d50c1ed43a2c2cea1,False,"test_basic.py, __init__.py"
3865d4591c6eb68d36b06668b3d5eff1c276c154,"Fix Output, Parameter and UpdatePolicy to not output a Properties dict",a77ded43d88de2168505f7829c03efe10f6a96f5,False,"test_basic.py, __init__.py"
0cea389f1b20138dfd60f9527864fe2dc32eca81,Fix pep8,3865d4591c6eb68d36b06668b3d5eff1c276c154,False,"EC2InstanceSample.py, Route53_A.py"
a168123251558ce695bbda7bdeb8ae137e562d16,Raise a ValueError if adding a duplicate object to the template,0cea389f1b20138dfd60f9527864fe2dc32eca81,False,"test_basic.py, __init__.py"
06eda2e8438a5c771be169dfffa1f0267962332b,"Fix Ref() to output the name only [GH-17]

Ref needed to be changed to look for BaseAWSObject.",6b2538b98b04d2e326f3221eb9c41d27f91c769e,False,__init__.py
5dab30fecc8f4c23f5a2fee77ea6c28e1379bf03,"Fix some IAM issues

- Make Policy property work again
- Policy prop should be Users, not User
- Have more explicit error checking with list types",9b59089168ef49fdad3ec80611efbc2124bbdf4c,False,"IAM_Users_snippet.py, iam.py"
791d4286dc974932c4ac61a7b61a1b0e8d2bd2eb,Fix a pep8 line too long,8f5da43ba04e0bd3e8e7219af60dc19cfb3e7f22,False,__init__.py
2b5ad64b7f0589c4f2bff0ced261a01569666c93,"Add cfn2py script to convert json templates to Python

This scipt will try to convert a properly formated CloudFormation
template into Python for use with troposphere. This is a little rough
right now but will do some of the bulk changes necessary. Additional
hand-editing fixups may be needed after conversion.",0dc69c6b64879f4468525fd0b7d83b70a3d58215,False,"cfn2py, setup.py"
7bfc602e506e660ff935e20842508a6f8944e1e8,"Fix examples/VPC_EC2_Instance_With_Multiple_Dynamic_IPAddresses.py

 - introduces ec2.NetworkInterfaceProperty
 - adds properties to NetworkInterface:
  - SecondaryPrivateIpAddressCount
  - NetworkInterfaceId
  - DeviceIndex
 - makes SubnetId not required",1bacd642363a12761a817a23b5a19a2134825332,False,ec2.py
ef3c9642098f83a3d5fdda71019b9c33a7bf2d1d,Fixup some of the network related validators and pep8 changes,37b92cdd13bd9c86b91bac404a8c73c62ebafa53,False,ec2.py
717a8c11b19e1b831ace4538040ef5613653a9da,Merge branch 'fix_VPC_EC2_Instance' of https://github.com/fungusakafungus/troposphere into fungusakafungus-fix_VPC_EC2_Instance,"30bda5d4a90fed5e0530763d5356796162c5581d, 7bfc602e506e660ff935e20842508a6f8944e1e8",True,
a860b3e73498420c4e2adc071bf1c854e3b8a6e5,Move resolver.py into __init__.py,012052a5d0d47ed8adf78076576e9faf6e61f156,False,"__init__.py, resolver.py"
5342851f50c20f8f5771815e2735335e63e845e2,Fix pep8 for test_implicit_ref.py,06dda30701038a658ece0d49460e25d8c1cee22d,False,test_implicit_ref.py
6a0854763dda410dab6aceeeaec8910b3665a0e8,Fixes for pyflakes,5342851f50c20f8f5771815e2735335e63e845e2,False,"test_basic.py, test_implicit_ref.py"
889174c77358e69e78635a4af42979a7e940b09c,Fix silly error by copying .travis.yml from awacs,f89ec85e89564debc7ae1bb4e3bbab2c2bf620a9,False,.travis.yml
9704278bb1c3f36531688930e5aa27ad32b18d97,"Merge remote-tracking branch 'source/master' into fixes

Conflicts:
	troposphere/__init__.py","1ea41f91ce8c365579a8ce14a490de0abe556f4d, 889174c77358e69e78635a4af42979a7e940b09c",True,
5a85e2e1a3915f4baae1b1c1a6c959a49e8fc3cd,Fix a tiny pep8 typo,9704278bb1c3f36531688930e5aa27ad32b18d97,False,__init__.py
e4afd9341ff76e96aee6d60cb9dc7fe739f2e95f,Fix initialization flag test,5a85e2e1a3915f4baae1b1c1a6c959a49e8fc3cd,False,__init__.py
776f4c2e7c21a1ca63094c6e27034d3e40af996a,Fix test_ELBSample from test_examples,6740ceb68d678eb0694e2740291dfba4e9df1098,False,test_examples.py
dc95abaa1d8e4f0195c7bbf043ed029a399c2bc6,Fix pep8 errors,776f4c2e7c21a1ca63094c6e27034d3e40af996a,False,test_examples.py
0c8e80a1503f881c544519e4482de41100ccee29,Fix for python3,dc95abaa1d8e4f0195c7bbf043ed029a399c2bc6,False,test_examples.py
e7248daf7d6b9ad01bbe0ea9a6d7867077fae98e,Fix unstable order of tags in troposphere.Tags,13200d1b29ec25408f0b35cd3c02ba935729bca2,False,__init__.py
1805e0239a9043edb6844dd49169eb9806c9f059,Merge branch 'fixes' of https://github.com/jeanphix/troposphere into jeanphix-fixes,"9c877984d1f9175660911d9cac457d6ff87b2754, e4afd9341ff76e96aee6d60cb9dc7fe739f2e95f",True,
57bef5bcd32e50127c4f7f34ed9e999db76c8db1,Fix pyflakes for [GH-47],1d512b9153dbc41e396b41f62111ea439bb4cfc7,False,ec2.py
